id,published_date,title,isbn,price
10,4/6/2011 0:00,Secret 06,2147483647,30000
11,4/6/2011 0:00,My Own Princess 01,2147483647,30000
14,4/13/2011 0:00,My Sweet Home 06 (END),9.78602E+12,30000
15,4/13/2011 0:00,Idol Love Story 01,9.78602E+12,30000
16,4/13/2011 0:00,Ugly Duckling Become Swan 10,0,30000
17,4/13/2011 0:00,Sandwich Girl 07,9.78602E+12,30000
18,4/13/2011 0:00,Say Say Say 01,9.78602E+12,30000
19,4/13/2011 0:00,Crab Kiss 01,9.78979E+12,30000
27,4/20/2011 23:40,Female Wolfs Boy 15,9.78602E+12,30000
28,4/20/2011 23:42,Perfect Love Project 01,2147483647,30000
35,4/27/2011 0:00,Ugly Duckling Become Swan 11,34506123011,30000
36,4/27/2011 0:00,Sandwich Girl 08,2147483647,30000
37,4/27/2011 0:00,Crazy Girl Shin Bia 01,9.78602E+12,30000
48,1/5/2011 0:00,Ugly Duckling Become Swan 6,0,30000
49,1/5/2011 0:00,Sandwich Girl 4,0,30000
51,1/12/2011 0:00,Idol Shopping 6,0,30000
52,1/12/2011 0:00,Female Wolf&#039;s Boy 12,0,30000
53,1/12/2011 0:00,The Impeccable Twins Final Chapter 14,0,30000
66,1/19/2011 0:00,Goong 22,9.78979E+12,30000
113,2/9/2011 0:00,Be Naughty Girl #4,0,30000
114,2/9/2011 0:00,Ugly Duckling Become Swan #7,0,30000
115,2/9/2011 0:00,Sandwich Girl 5,0,30000
118,2/16/2011 0:00,Female Wolf&#039;s Boy 13,0,30000
120,2/16/2011 0:00,Secret #4,0,30000
131,2/23/2011 0:00,The Impeccable Twins Final Chapter #15,0,30000
136,3/2/2011 0:00,Ugly Duckling Become Swan #8,0,30000
137,3/2/2011 0:00,Sandwich Girl #6,0,30000
139,3/2/2011 0:00,CSI: Crime Scene Investigation,0,30000
145,3/9/2011 0:00,My Sweet Home# 4,0,30000
146,3/9/2011 0:00,Be Naughty Girl #5 (END),0,30000
154,3/16/2011 0:00,Secret #5,0,30000
165,3/23/2011 0:00,The Impeccable Twins Final Chapter #16,0,30000
176,3/30/2011 0:00,Idol Shopping #7,0,30000
177,3/30/2011 0:00,Female Wolf&#039;s Boy #14,0,30000
178,3/30/2011 0:00,Ugly Duckling Become Swan #9,0,30000
179,3/30/2011 0:00,My Sweet Home #5,0,30000
195,5/4/2011 0:00,My Own Princess #2,,30000
196,5/11/2011 0:00,Female Wolf&#039;s Boy #16,9.78602E+12,30000
197,5/11/2011 0:00,Idol Shopping 08,9.78602E+12,30000
202,5/11/2011 0:00,Ugly Duckling Become Swan #12,9.78602E+12,30000
215,5/18/2011 0:00,Idol Love Story #2,9.78602E+12,30000
216,5/18/2011 0:00,Crab Kiss #2,9.78602E+12,30000
217,5/18/2011 0:00,Perfect Love Project #2,9.78602E+12,30000
231,5/25/2011 0:00,The Impeccable Twins Final Chapter #17,9.78602E+12,30000
272,6/1/2011 0:00,Female Wolf&#039;s Boy #17 (END),9.78602E+12,30000
280,6/1/2011 0:00,My Own Princess #3,9.78602E+12,30000
284,6/1/2011 0:00,Say Say Say #2,9.78602E+12,30000
287,6/8/2011 0:00,Crab Kiss #3,9.78602E+12,30000
288,6/8/2011 0:00,Crazy Girl Shin Bia #2,9.78602E+12,30000
289,6/8/2011 0:00,Idol Love Story #3,9.78602E+12,30000
293,6/8/2011 0:00,Perfect Love Project #3,9.78602E+12,30000
296,6/8/2011 0:00,Secret #7,9.78602E+12,30000
298,6/8/2011 0:00,Ugly Duckling Become Swan #13 (END),9.78602E+12,30000
305,6/15/2011 0:00,My Own Princess #4,9.78602E+12,30000
308,6/15/2011 0:00,The Impeccable Twins Final Chapter #18,9.78602E+12,30000
326,7/4/2011 15:49,My Own Princess #5,9.78602E+12,30000
327,7/4/2011 15:55,Say Say Say #3,9.78602E+12,30000
356,7/13/2011 12:00,Craz Grl Shin BIa 3,9.78602E+12,30000
357,7/13/2011 12:00,Secret 8,9.78602E+12,30000
358,7/13/2011 12:00,Idol Love Story 4,9.78602E+12,30000
359,7/13/2011 12:00,Perfect Love Project 4,9.78602E+12,30000
377,7/20/2011 22:27,Crab Kiss #4,9.78602E+12,30000
378,7/20/2011 22:29,Idol Shopping #10,9.78602E+12,30000
406,8/3/2011 14:20,Idol Love Story #5,9.78602E+12,30000
407,8/3/2011 14:22,Crazy Girl Shinbia #4,9.78602E+12,30000
408,8/3/2011 14:24,Say Say Say #4,9.78602E+12,30000
409,8/3/2011 14:27,My Own Princess #6,9.78602E+12,30000
410,8/3/2011 14:35,Perfect Love Project #5,9.78602E+12,30000
435,8/10/2011 12:00,Crab Kiss #5,9.78602E+12,30000
455,8/16/2011 14:05,Real Masjid,9.78602E+12,30000
459,8/16/2011 14:28,The Impeccable Twins Final Chapter #19,9.78602E+12,30000
482,9/14/2011 23:01,Idol Love Story #6,9.78602E+12,30000
483,9/14/2011 23:03,Crab Kiss #6,9.78602E+12,30000
484,9/14/2011 23:04,Perfect Love Project #6,9.78602E+12,30000
485,9/14/2011 23:06,Crazy Girl ShinBia 05,9.78602E+12,30000
486,9/14/2011 23:09,My Own Princess 07,9.78602E+12,30000
528,9/21/2011 22:00,Say Say Say 05,9.78602E+12,30000
529,9/21/2011 22:02,Idol Shopping 11,9.78602E+12,30000
612,10/5/2011 22:37,Idols Love Story 07,9.78602E+12,30000
613,10/5/2011 22:41,Country Dog and Seoul Cat 01,9.78602E+12,30000
614,10/5/2011 22:43,Perfect Love Project 07,9.78602E+12,30000
630,10/15/2010 1:23,SECRET 2,9.78979E+12,30000
643,10/12/2011 17:56,MY Own Princess 08,9.78602E+12,30000
644,10/12/2011 17:57,Idol Shopping 12,9.78602E+12,30000
645,10/12/2011 17:59,Crab Kiss 07,9.78602E+12,30000
646,10/12/2011 18:01,Crazy Girl Shinbia 06,9.78602E+12,30000
648,10/12/2011 18:04,The Impeccable Twins Final Chapter 20,9.78602E+12,30000
693,11/2/2011 20:58,Perfect Love Project 08,9.78602E+12,30000
695,11/2/2011 21:01,MY Own Princess 09,9.78602E+12,30000
701,11/9/2011 21:14,Crab Kiss 08,9.78602E+12,30000
702,11/9/2011 21:16,Crazy Girl Shinbia 07,9.78602E+12,30000
703,11/9/2011 21:18,Country Dog and Seoul Cat 02,9.78602E+12,30000
740,12/5/2010 23:17,IDOL SHOPPING vol. 5,9.78979E+12,30000
745,12/5/2010 23:55,The Impeccable Twins â€“ Final Chapters,9.78979E+12,30000
760,11/23/2011 14:01,Say Say Say 06,9.78602E+12,30000
799,12/7/2011 21:40,MY Own Princess 10,9.78602E+12,30000
800,12/7/2011 21:42,Idol&#039;s Love Story 09,9.78602E+12,30000
801,12/7/2011 21:43,Crab Kiss 09,9.78602E+12,30000
809,12/14/2011 21:57,Crazy Girl Shinbia 08,9.78602E+12,30000
834,1/18/2012 0:00,Crazy Girl Shinbia #9,9.78602E+12,30000
844,2/1/2012 0:00,Idol&#039;s Love Story #11,9.78602E+12,30000
1161,2/5/2012 9:20,Monika - Danau Awet Muda,9.78602E+12,30000
1194,12/23/2012 14:50,Idol&#039;s Love Story 12,9.78602E+12,30000
1195,3/6/2012 14:54,Crazy Girl Shin Bia 10,9.78602E+12,30000
1202,3/6/2012 15:44,Secret 10 (Tamat),9.78602E+12,30000
1212,3/28/2012 12:18,Crazy Girl Shin Bia 11,9.78602E+12,30000
