id,id_media_type,published_date,title,url,link_download,link_full_version,author,isbn,price,rate,jenis_rate,origin,size,page,tags,summary,status,image,image_preview_1,image_preview_2,image_preview_3,image_preview_4,image_preview_5
2740,1,9/23/2015 0:00,To Be Continued Tomorrow 04 - tamat,http://www.gramedia.com,,,KITA KONNO,9.78602E+12,27000,4,R,Jepang,13 x 18,200,"drama,slice of life,brotherhood","Haruka dan Saya Fujisawa yang dibesarkan oleh orangtua tunggal tumbuh besar dan sehat di bawah pengawasan sang ayah dan bibi mereka, Rikako. Tepat 1 tahun setelah keluarga Harada pindah ke rumah sebel...",,2740_image.jpg,,,,,
2739,1,9/16/2015 0:00,Today's Curry,http://www.gramedia.com,,,YAE SHIMANO,9.78602E+12,20000,4,R,Jepang,"11,4 x 16,8",184,"drama,slice of life,curry,food","Ini kisah “kare sehari-hari” yang terjadi di Pulau Benten yang agak ajaib. Kare, menu yang akrab dengan semua orang Jepang, dan kisah-kisah yang menceritakan tentang penduduk pulau. Dari s...",,2739_image.jpg,,,,,
2738,1,9/16/2015 0:00,The Forbidden Song,http://www.gramedia.com,,,CHIKAKO MORI,9.78602E+12,20000,4,R,Jepang,"11,2 x 17,6",192,"drama,mystery,fantasy","“Jangan nyanyikan lagu itu. Begitu kau selesai bersenandung, pintu masuk neraka akan terbuka…”Nanao yang bertengkar dengan ibunya kebetulan menemukan lagu pengantar tidur kuno di to...",,2738_image.jpg,,,,,
2737,1,9/16/2015 0:00,Sunny Orange by Cherry,http://www.gramedia.com,,,M&C,9.78602E+12,33000,4,R,Jepang,"11,2 x 17,6",208,"shoujo,romance,magazine",,,2737_image.jpg,,,,,
2736,1,9/16/2015 0:00,Last Game 06,http://www.gramedia.com,,,SHINOBU AMANO,9.78602E+12,20000,5,R,Jepang,"11,2 x 17,6",192,"drama,romance,shoujo","Perasaan siapakah yang akan meluap terlebih dulu? “Kalau Yanagi yang melakukannya, aku nggak keberatan.”Yanagi dibuat bingung oleh konsep kedekatan teman yang dimiliki oleh Kujo.Reuni, pes...",,2736_image.jpg,,,,,
2735,1,9/16/2015 0:00,"Night is Short, Walk On Girl 01",http://www.gramedia.com,,,RANMARU KOTONE / TOMIHIKO MORIMI,9.78602E+12,20000,4,R,Jepang,"11,4 x 16,8",184,"drama,romance,mystery,slice of life","Seorang Senpai sedang kehilangan semangat dalam menempuh hidupnya, hingga dia sering bersikap sinis pada orang. Sampai akhirnya dia bertemu dengan seorang gadis yang baru saja bergabung di klubnya.Sen...",,2735_image.jpg,,,,,
2734,1,9/16/2015 0:00,Kanon Secret Super Idol 02,http://www.gramedia.com,,,YUU YABUUCHI,9.78602E+12,20000,4,R,Jepang,"11,2 x 17,6",184,"drama,shoujo,music,idol","Hubungan rahasia Kokone dan Soushi dimulai dari sebuah ruang “karaoke”. Video musik yang mereka upload ternyata mengundang tanggapan Remi! Setelah menyaksikan konser Remi, mereka didekati ...",,2734_image.jpg,,,,,
2733,1,9/16/2015 0:00,Love Cotton 03,http://www.gramedia.com,,,CHAN KASHINOKI,9.78602E+12,20000,4,R,Jepang,"11,2 x 17,6",184,"drama,slice of life,shoujo","Toko Love Cotton mulai berkembang, namun Naru, Rin, Mirai, dan Tadashi harus bekerja super keras! Apalagi ketika sebuah majalah memuat artikel tentang Love Cotton.  Banyak pembeli dari jauh berda...",,2733_image.jpg,,,,,
2732,1,9/16/2015 0:00,Strobe Edge 04,http://www.gramedia.com,,,IO SAKISAKA,9.78602E+12,20000,5,R,Jepang,"11,2 x 17,6",192,"drama,romance,shoujo,school life","Andou menyatakan cintanya ke Ninako. Dia menanyakan soal “batasan” pada Ninako yang masih menyukai Ren. Menurut Ninako, hal seperti itu tidak ada. Tapi...Sementara itu, Manabu menyadari ad...",,2732_image.jpg,,,,,
2731,1,9/16/2015 0:00,Your Lie in April 02,http://www.gramedia.com,,,NAOSHI ARAKAWA,9.78602E+12,25000,5,R,Jepang,"11,2 x 17,6",200,"drama,romance,shoujo,music","Kousei Arima akhirnya bermain piano kembali. Ia berduet dengan Kaori Miyazono memainkan lagu Introduction et Rondo Capriccioso karya Saint-Saens. Namun, di tengah pertunjukan, Arima tidak bisa mendeng...",,2731_image.jpg,,,,,
2730,1,9/16/2015 0:00,The World Is Still Beautiful 06,http://www.gramedia.com,,,DAI SHIINA,9.78602E+12,20000,5,R,Jepang,"11,2 x 17,6",192,"drama,romance,fantasy","“Aku bertemu dengan pemandangan ini, orang-orang yang tinggal di sini, juga merasakan sakit.”Selama berada di Kekaisaran Pasir, Nike menyaksikan sendiri penderitaan rakyat yang kekurangan ...",,2730_image.jpg,,,,,
2729,1,9/16/2015 0:00,Rin 06,http://www.gramedia.com,,,HAROLD SAKUISHI,9.78602E+12,20000,4,R,Jepang,"11,4 x 16,8",200,"drama,shounen,fantasy,mystery","Fushimi adalah seorang siswa SMA yang bercita-cita menjadi seorang komikus. Rin adalah model yang tampaknya memiliki beberapa jenis kekuatan batin. Kisah kedua orang ini berjalan masing-masing, hingga...",,2729_image.jpg,,,,,
